Year;Ref;Goals;Home;Attack;Defense
2003;1;4;Home;Guarani-SP;Vasco-RJ
2003;1;2;Away;Vasco-RJ;Guarani-SP
2003;2;2;Home;Goias-GO;Paysandu-PA
2003;2;2;Away;Paysandu-PA;Goias-GO
2003;3;0;Home;Corinthians-SP;Atletico-MG
2003;3;3;Away;Atletico-MG;Corinthians-SP
2003;4;2;Home;Atletico-PR;Gremio-RS
2003;4;0;Away;Gremio-RS;Atletico-PR
2003;5;1;Home;Flamengo-RJ;Coritiba-PR
2003;5;1;Away;Coritiba-PR;Flamengo-RJ
2003;6;2;Home;Criciuma-SC;Fluminense-RJ
2003;6;0;Away;Fluminense-RJ;Criciuma-SC
2003;7;2;Home;Juventude-RS;Sao Paulo-SP
2003;7;2;Away;Sao Paulo-SP;Juventude-RS
2003;8;0;Home;Fortaleza-CE;Bahia-BA
2003;8;0;Away;Bahia-BA;Fortaleza-CE
2003;9;1;Home;Vitoria-BA;Figueirense-SC
2003;9;1;Away;Figueirense-SC;Vitoria-BA
2003;10;2;Home;Cruzeiro-MG;Sao Caetano-SP
2003;10;2;Away;Sao Caetano-SP;Cruzeiro-MG
2003;11;1;Home;Internacional-RS;Ponte Preta-SP
2003;11;1;Away;Ponte Preta-SP;Internacional-RS
2003;12;2;Home;Santos-SP;Parana-PR
2003;12;2;Away;Parana-PR;Santos-SP
2003;13;1;Home;Fluminense-RJ;Fortaleza-CE
2003;13;1;Away;Fortaleza-CE;Fluminense-RJ
2003;14;0;Home;Atletico-MG;Santos-SP
2003;14;0;Away;Santos-SP;Atletico-MG
2003;15;3;Home;Gremio-RS;Guarani-SP
2003;15;1;Away;Guarani-SP;Gremio-RS
2003;16;0;Home;Coritiba-PR;Internacional-RS
2003;16;1;Away;Internacional-RS;Coritiba-PR
2003;17;1;Home;Bahia-BA;Flamengo-RJ
2003;17;2;Away;Flamengo-RJ;Bahia-BA
2003;18;6;Home;Vasco-RJ;Goias-GO
2003;18;4;Away;Goias-GO;Vasco-RJ
2003;19;3;Home;Figueirense-SC;Corinthians-SP
